vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
C4.6-8.2,outcome,C4.6-8.2,Describe the relationship between the actions of people in Washington state and the ideals outlined in the Washington state constitution.,Connecting what people do to Washington's ideals,highest,,active,C4,3,4,"Exemplary — You connect people's actions to the state's ideals, and show where the two don't match.",3,Proficient — You describe how people's actions in Washington line up with the ideals in the state constitution.,2,"Progressing — You describe actions or ideals, but you don't connect them.",1,Beginning — You can name state ideals without examples of people living them yet.
C4.6-8.3,outcome,C4.6-8.3,Employ strategies for civic involvement that address a state or local issue.,Taking civic action on a state or local issue,highest,,active,C4,3,4,Exemplary — You use a strategy for civic action and explain why it fits this issue and this audience.,3,Proficient — You use a real strategy for civic involvement to address a state or local issue.,2,Progressing — You name a way to get involved but don't connect it to the issue.,1,Beginning — You describe a state or local issue without a plan to act on it yet.
WA-SS-ECONOMICS,group,Economics,,,,,active,,,,,,,,,,
E1,group,E1: Understands that people have to make choices between wants and needs and evaluates the outcomes of those choices.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E1.6-8.2,outcome,E1.6-8.2,Evaluate alternative approaches or solutions to current economic issues of Washington state in terms of costs and benefits for different groups.,Weighing solutions to Washington's economic problems,highest,,active,E1,3,4,Exemplary — You weigh more than one solution and show that the costs and benefits land differently on different groups.,3,Proficient — You weigh the costs and benefits of different solutions to a Washington economic issue.,2,Progressing — You describe a solution without weighing what it costs or who it helps.,1,Beginning — You can name an economic issue without possible solutions yet.
E2,group,E2: Understands how economic systems function.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E2.6-8.3,outcome,E2.6-8.3,"Analyze the production, distribution, and consumption of goods, services, and resources in societies from the past or in the present.","Analyzing how goods are made, moved, and used",highest,,active,E2,3,4,"Exemplary — You analyze how goods move from making to using, and explain what happens when one link changes.",3,"Proficient — You analyze how goods, services, and resources are produced, moved, and used in a society.",2,Progressing — You describe one part of the chain without connecting it to the rest.,1,Beginning — You can name goods and resources without tracing what happens to them yet.
E2.6-8.4,outcome,E2.6-8.4,Analyze how the forces of supply and demand have affected international trade in Washington state in the past or present.,Analyzing supply and demand in Washington's trade,highest,,active,E2,3,4,"Exemplary — You analyze how supply and demand shaped Washington's trade, and explain who gained and who lost.",3,Proficient — You analyze how supply and demand affected Washington's trade with other countries.,2,Progressing — You describe Washington's trade without showing supply and demand at work.,1,Beginning — You name traded goods without explaining what drove the trade yet.
E3,group,E3: Understands the government’s role in the economy.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E3.6-8.2,outcome,E3.6-8.2,"Analyze the role of government in the economy of Washington state through taxation, spending, and policy setting in the past or present.",Analyzing government's role in Washington's economy,highest,,active,E3,3,4,"Exemplary — You analyze how taxes, spending, or policy shaped the state economy, and explain who benefited.",3,"Proficient — You analyze how state taxing, spending, or policy affected Washington's economy.",2,Progressing — You describe a tax or a program without showing its effect.,1,Beginning — You can name what the state spends money on without its impact yet.
E4,group,E4: Understands the economic issues and problems that all societies face.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E4.6-8.3,outcome,E4.6-8.3,Analyze the distribution of wealth and sustainability of resources in Washington state.,Analyzing who has wealth and whether Washington's resources last,highest,,active,E4,3,4,"Exemplary — You analyze how wealth and resources are shared in Washington, and explain what makes the pattern hold or change.",3,Proficient — You analyze how wealth is spread across Washington and whether its resources can last.,2,Progressing — You describe wealth or resources but not the pattern in how they're shared.,1,Beginning — You name rich and poor areas without analyzing the pattern yet.
E4.6-8.4,outcome,E4.6-8.4,"Explain the costs and benefits of trade policies to individuals, businesses, and society in Washington state.",Explaining what Washington's trade policies cost and give,highest,,active,E4,3,4,"Exemplary — You explain the costs and the benefits of a trade policy, and show they land differently on different groups.",3,"Proficient — You explain both the costs and the benefits of a trade policy for Washington people, businesses, or communities.",2,"Progressing — You explain either the costs or the benefits, not both.",1,Beginning — You name a trade policy without its costs or benefits yet.
WA-SS-GEOGRAPHY,group,Geography,,,,,active,,,,,,,,,,
G1,group,"G1: Understands the physical characteristics, cultural characteristics, and location of places, regions, and spatial patterns on the Earth’s surface.",,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G1.6-8.3,outcome,G1.6-8.3,Analyze maps and charts from a specific time period to understand an issue or event.,Reading maps and charts from the past,highest,,active,G1,3,4,"Exemplary — You use maps and charts from a time period to explain an issue, and you notice what the mapmaker left out.",3,Proficient — You analyze maps and charts from a specific time to understand an issue or event.,2,Progressing — You read facts off a map or chart without using them to explain anything.,1,Beginning — You can find information on a map without connecting it to the issue yet.
G1.6-8.4,outcome,G1.6-8.4,Explain how human spatial patterns have emerged from natural processes and human activities.,Explaining why people settled where they did,highest,,active,G1,3,4,"Exemplary — You explain how nature and human choices together shaped where people settled, and which mattered more.",3,Proficient — You explain how natural features and human activity shaped where people live and work.,2,Progressing — You describe where people settled without explaining why.,1,Beginning — You can locate settlements without explaining the pattern yet.
G2,group,G2: Understands human interaction with the environment.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G2.6-8.3,outcome,G2.6-8.3,"Explain and analyze how the environment has affected people and how human actions modify the physical environment, and in turn, how the physical environment limits or promotes human activities in Washington state in the past or present.",Analyzing how people and Washington's environment change each other,highest,,active,G2,3,4,"Exemplary — You analyze both directions of the relationship, and you connect them into a cycle.",3,Proficient — You analyze how Washington's environment shaped people and how people changed the environment.,2,"Progressing — You analyze one direction of the relationship, not both.",1,Beginning — You name an environmental feature without connecting it to people yet.
G2.6-8.4,outcome,G2.6-8.4,Explain the role of immigration in shaping societies in the past or present.,Explaining how immigration shapes a society,highest,,active,G2,3,4,"Exemplary — You explain how immigration shaped a society, and what it cost the people who moved and the people already there.",3,Proficient — You explain the role immigration played in shaping a society.,2,Progressing — You describe people moving without connecting it to how society changed.,1,Beginning — You name groups who immigrated without their effect yet.
G2.6-8.5,outcome,G2.6-8.5,Explain examples of cultural diffusion in the world from the past or present.,Explaining how culture spreads,highest,,active,G2,3,4,"Exemplary — You explain how a cultural practice spread, and what changed about it along the way.",3,"Proficient — You explain how a cultural practice, idea, or product spread from one group to another.",2,Progressing — You name cultures in contact but don't trace what spread.,1,Beginning — You name cultural practices without explaining how they traveled yet.
G3,group,G3: Understands the geographic context of global issues and events.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G3.6-8.2,outcome,G3.6-8.2,"Explain how learning about the geography of Washington state helps us understand global issues such as diversity, sustainability, and trade.",Connecting Washington's geography to global issues,highest,,active,G3,3,4,"Exemplary — You explain how Washington's geography helps make sense of a global issue, and where the comparison breaks down.",3,"Proficient — You explain how learning Washington's geography helps you understand a global issue like trade, diversity, or sustainability.",2,Progressing — You describe a global issue without connecting it to geography.,1,Beginning — You name global issues without linking them to place yet.
WA-SS-HISTORY,group,History,,,,,active,,,,,,,,,,
H1,group,H1: Understands historical chronology.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H1.6-8.4,outcome,H1.6-8.4,"Analyze a major historical event and how it is represented on timelines from different cultural perspectives, including those of indigenous people.",Comparing timelines from different perspectives,highest,,active,H1,3,4,"Exemplary — You compare how different cultures place the same event on a timeline, and explain what each one treats as the beginning.",3,"Proficient — You analyze how a major event appears on timelines from different cultural perspectives, including Indigenous ones.",2,Progressing — You read a timeline but treat it as the only version of events.,1,Beginning — You can place events on a timeline without asking whose timeline it is yet.
H1.6-8.5,outcome,H1.6-8.5,"Explain how themes and developments have defined eras in Washington state history from 1854 to the present: Territory and treaty-making (1854-1889); Railroads, reform, immigration, and labor (1889-1930); Turmoil and triumph (1930-1974); New technologies and industries in contemporary Washington (1975-present)",Explaining what makes an era in Washington history,highest,,active,H1,3,4,"Exemplary — You explain what defines an era in Washington history, and show where one era bleeds into the next.",3,Proficient — You explain how themes and events define an era in Washington history from 1854 to today.,2,Progressing — You place events in time but don't explain what ties an era together.,1,Beginning — You can name events without placing them in an era yet.
H2,group,H2: Understands and analyzes causal factors that have shaped major events in history.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H2.6-8.2,outcome,H2.6-8.2,Explain and analyze how individuals and movements have shaped Washington state history since statehood.,Analyzing how people and movements changed Washington,highest,,active,H2,3,4,"Exemplary — You analyze how a person or a movement changed Washington, and weigh how much they changed against what was already moving.",3,Proficient — You explain and analyze how an individual or a movement shaped Washington since statehood.,2,Progressing — You describe what a person or movement did without showing what changed because of it.,1,Beginning — You name people or movements without their impact yet.
H2.6-8.3,outcome,H2.6-8.3,Explain and analyze how cultures and ethnic groups contributed to Washington state history since statehood.,Analyzing what different groups contributed to Washington,highest,,active,H2,3,4,"Exemplary — You analyze what a cultural or ethnic group contributed to Washington, and explain why that contribution is often left out.",3,Proficient — You explain and analyze how a cultural or ethnic group shaped Washington since statehood.,2,Progressing — You name a group's contribution without analyzing its effect.,1,Beginning — You name groups without their contributions yet.
H2.6-8.4,outcome,H2.6-8.4,Explain and analyze how technology and ideas have impacted Washington state history since statehood.,Analyzing how technology and ideas changed Washington,highest,,active,H2,3,4,"Exemplary — You analyze how a technology or an idea changed Washington, and follow effects people didn't expect.",3,Proficient — You explain and analyze how a technology or an idea changed Washington since statehood.,2,Progressing — You describe a technology or an idea without showing what it changed.,1,Beginning — You name inventions or ideas without their impact yet.
H3,group,H3: Understands that there are multiple perspectives and interpretations of historical events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H3.6-8.3,outcome,H3.6-8.3,"Explain, analyze, and develop an argument about how Washington state has been impacted by: Individuals and movements.; Cultures and cultural groups.; Technology and ideas.",Building an argument about what shaped Washington,highest,,active,H3,3,4,"Exemplary — You build an argument using more than one force, and judge which one mattered most and why.",3,"Proficient — You build an argument about how people, cultures, or technology shaped Washington, using evidence.",2,Progressing — You name forces that shaped Washington but your argument rests on only one.,1,Beginning — You state an opinion about Washington's past without evidence behind it yet.
H4,group,H4: Understands how historical events inform analysis of contemporary issues and events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H4.6-8.2,outcome,H4.6-8.2,Analyze how a historical event in Washington state history helps us to understand contemporary issues and events.,Using Washington's past to understand today,highest,,active,H4,3,4,"Exemplary — You analyze how a past event helps explain an issue today, and name where the comparison stops working.",3,Proficient — You analyze how an event in Washington history helps you understand an issue happening now.,2,"Progressing — You connect past and present, but the link stays on the surface.",1,Beginning — You describe a past event without connecting it to today yet.
WA-SS-SKILLS,group,Social Studies Skills,,,,,active,,,,,,,,,,
SSS1,group,SSS1: Uses critical reasoning skills to analyze and evaluate claims.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS1.6-8.1,outcome,SSS1.6-8.1,Analyze positions and evidence supporting an issue or an event.,Analyzing positions and the evidence behind them,highest,,active,SSS1,3,4,"Exemplary — You analyze a position and its evidence, and explain how it argues against other positions.",3,"Proficient — You analyze a position and the evidence given for it, using specifics from the source.",2,"Progressing — You describe a position and mention evidence, but you don't separate the two.",1,Beginning — You retell what a source says without finding the position yet.
SSS1.6-8.2,outcome,SSS1.6-8.2,Evaluate the logic of reasons for a position on an issue or event.,Judging whether reasons hold up,highest,,active,SSS1,3,4,"Exemplary — You decide if the reasons really back up the position, and you look at more than one side before deciding.",3,"Proficient — You decide if the reasons back up the position, and you point to evidence for why you think so.",2,"Progressing — You say what you think about the reasons, but you don't show much evidence for it.",1,Beginning — You give your opinion without looking at the reasons yet.
SSS2,group,SSS2: Uses inquiry-based research.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS2.6-8.1,outcome,SSS2.6-8.1,Create and use research questions to guide inquiry on an issue or event.,Asking questions that drive research,highest,,active,SSS2,3,4,"Exemplary — You write questions that open real research, and you change them as you find new information.",3,Proficient — You write focused research questions and use them to guide your search.,2,"Progressing — You write questions, but they're too big, too small, or you set them aside once you start.",1,Beginning — You name a topic without turning it into a question yet.
SSS2.6-8.2,outcome,SSS2.6-8.2,"Evaluate the breadth, reliability, and credibility of primary and secondary sources to determine the need for new or additional information when researching an issue or event.",Judging whether sources can be trusted,highest,,active,SSS2,3,4,"Exemplary — You judge whether a source can be trusted, and you notice what's missing or one-sided in what you found.",3,"Proficient — You judge whether a source can be trusted, and whether you need to find more.",2,"Progressing — You say something about your sources, but you judge them by how they look, not by who made them.",1,Beginning — You use sources without asking where they came from yet.
SSS3,group,SSS3: Deliberates public issues.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS3.6-8.1,outcome,SSS3.6-8.1,"Engage in discussion, analyzing multiple viewpoints on public issues.",Discussing an issue from more than one side,highest,,active,SSS3,3,4,"Exemplary — You analyze several viewpoints in discussion and build on what others say, including views unlike yours.",3,Proficient — You analyze more than one viewpoint on the issue while discussing it.,2,"Progressing — You take part in discussion, mostly restating one viewpoint.",1,Beginning — You share an opinion without taking on the other views raised yet.
SSS4,group,"SSS4: Creates a product that uses social studies content to support a thesis, and presents the product in an appropriate manner to a meaningful audience.",,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS4.6-8.1,outcome,SSS4.6-8.1,"Analyze multiple factors, make generalizations, and interpret sources to formulate a thesis in a paper or presentation, while observing rules related to plagiarism and copyright.",Building a product that makes a claim,highest,,active,SSS4,3,4,"Exemplary — All the parts build one idea together, and your idea says something people wouldn't guess right away.",3,Proficient — Every part of your work supports the same clear claim.,2,"Progressing — Your parts connect to your claim, but some repeat or drift off it.",1,Beginning — Your parts don't add up to a claim yet.
SSS4.6-8.2,outcome,SSS4.6-8.2,"Use appropriate format to cite sources within an essay, presentation, and reference page.",Crediting sources correctly,highest,,active,SSS4,3,4,"Exemplary — You cite sources the same way all the way through, and your citations make each source easy to find.",3,"Proficient — You cite your sources in the right format, both in your work and on your reference page.",2,"Progressing — You credit sources, but the format changes or your reference page is missing pieces.",1,Beginning — You use other people's words or ideas without crediting them yet.
