vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
C3.6-8.5,outcome,C3.6-8.5,Identify early examples of foreign policy between the United States and other nations.,Identifying early U.S. foreign policy,highest,,active,C3,3,4,Exemplary — You identify early foreign policy examples and explain what the young nation was trying to protect.,3,Proficient — You identify early examples of how the United States dealt with other nations.,2,Progressing — You name an event involving another country but not the policy behind it.,1,Beginning — You can name other countries but not how the U.S. dealt with them yet.
C3.6-8.6,outcome,C3.6-8.6,Analyze how the United States has interacted with other countries.,Analyzing how the U.S. deals with other countries,highest,,active,C3,3,4,"Exemplary — You analyze how the U.S. interacted with another country, and explain how both sides were affected.",3,"Proficient — You analyze how the United States interacted with another country, using evidence.",2,Progressing — You describe an interaction but stop before explaining why it happened or what changed.,1,Beginning — You name countries the U.S. dealt with without explaining how yet.
C4,group,C4: Understands civic involvement.,,,,,active,WA-SS-CIVICS,,,,,,,,,
C4.6-8.4,outcome,C4.6-8.4,Analyze how a claim on an issue attempts to balance individual rights and the common good.,Analyzing rights versus the common good,highest,,active,C4,3,4,"Exemplary — You analyze how a claim balances individual rights and the common good, and explain what it costs each side.",3,Proficient — You analyze how a claim tries to balance individual rights with the good of everyone.,2,"Progressing — You name the rights or the common good, but you don't show the balance between them.",1,Beginning — You give an opinion on the issue without weighing rights against the common good yet.
C4.6-8.5,outcome,C4.6-8.5,Employ strategies for civic involvement that address a national issue.,Taking civic action on a national issue,highest,,active,C4,3,4,Exemplary — You use a strategy for civic action and explain why it fits this issue and this audience.,3,Proficient — You use a real strategy for civic involvement to address a national issue.,2,Progressing — You name a way to get involved but don't connect it to the issue.,1,Beginning — You describe a national issue without a plan to act on it yet.
WA-SS-ECONOMICS,group,Economics,,,,,active,,,,,,,,,,
E1,group,E1: Understands that people have to make choices between wants and needs and evaluates the outcomes of those choices.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E1.6-8.3,outcome,E1.6-8.3,Analyze examples of how groups and individuals have considered profit and personal values in making economic choices in the past or present.,Analyzing money-versus-values choices,highest,,active,E1,3,4,Exemplary — You analyze an economic choice and explain how profit and personal values pulled against each other.,3,"Proficient — You analyze an economic choice, showing how profit and personal values shaped it.",2,Progressing — You describe the choice but account for only profit or only values.,1,Beginning — You name an economic choice without explaining what shaped it yet.
E2,group,E2: Understands how economic systems function.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E2.6-8.5,outcome,E2.6-8.5,"Analyze how the forces of supply and demand have affected the production, distribution, and consumption of goods, services, and resources in the United States in the past or present.",Analyzing supply and demand,highest,,active,E2,3,4,"Exemplary — You analyze how supply and demand changed what was made, moved, or bought, and trace the chain of effects.",3,"Proficient — You analyze how supply and demand affected what was produced, sold, or used.",2,Progressing — You define supply and demand but apply them only loosely to the example.,1,Beginning — You name a product or a price without connecting it to supply and demand yet.
E2.6-8.6,outcome,E2.6-8.6,Analyze how the forces of supply and demand have affected international trade in the United States in the past or present.,Analyzing supply and demand in trade between nations,highest,,active,E2,3,4,"Exemplary — You analyze how supply and demand shaped trade between nations, and explain who gained and who lost.",3,Proficient — You analyze how supply and demand affected U.S. trade with other countries.,2,Progressing — You describe trade between countries without showing supply and demand at work.,1,Beginning — You name traded goods without explaining what drove the trade yet.
E3,group,E3: Understands the government’s role in the economy.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E3.6-8.3,outcome,E3.6-8.3,"Analyze the influence of the U.S. government’s taxation, creation of currency, and tariffs in the past or present.","Analyzing taxes, money, and tariffs",highest,,active,E3,3,4,"Exemplary — You analyze how taxes, currency, or tariffs changed people's lives, and explain who they helped and who they hurt.",3,"Proficient — You analyze how a government decision about taxes, money, or tariffs affected the economy.",2,Progressing — You describe a tax or a tariff without showing its effects.,1,"Beginning — You can name taxes, currency, or tariffs but not their impact yet."
E4,group,E4: Understands the economic issues and problems that all societies face.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E4.6-8.5,outcome,E4.6-8.5,Analyze the distribution of wealth and sustainability of resources in the United States.,Analyzing who has wealth and whether resources last,highest,,active,E4,3,4,"Exemplary — You analyze how wealth and resources are shared, and explain what makes the pattern hold or change.",3,Proficient — You analyze how wealth is spread out and whether resources can last.,2,Progressing — You describe wealth or resources but not the pattern in how they're shared.,1,Beginning — You name rich and poor groups without analyzing the pattern yet.
E4.6-8.6,outcome,E4.6-8.6,"Explain the costs and benefits of trade policies to individuals, businesses, and society in the United States.",Explaining what trade policies cost and give,highest,,active,E4,3,4,"Exemplary — You explain the costs and the benefits of a trade policy, and show they land differently on different groups.",3,"Proficient — You explain both the costs and the benefits of a trade policy for people, businesses, or society.",2,"Progressing — You explain either the costs or the benefits, not both.",1,Beginning — You name a trade policy without its costs or benefits yet.
WA-SS-GEOGRAPHY,group,Geography,,,,,active,,,,,,,,,,
G1,group,"G1: Understands the physical characteristics, cultural characteristics, and location of places, regions, and spatial patterns on the Earth’s surface.",,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G1.6-8.5,outcome,G1.6-8.5,Explain and analyze physical and cultural characteristics of places and regions in the United States.,Explaining what makes a place what it is,highest,,active,G1,3,4,"Exemplary — You analyze the physical and cultural features of a region, and explain how they shape each other.",3,Proficient — You explain and analyze the physical and cultural features of a U.S. place or region.,2,Progressing — You describe features of a place but treat physical and cultural ones separately.,1,Beginning — You name places without describing what makes them different yet.
G1.6-8.6,outcome,G1.6-8.6,"Use maps, satellite images, photographs, and other representations to explain relationships between the locations of places and regions and their political, cultural, and economic dynamics.",Reading maps to explain why location matters,highest,,active,G1,3,4,"Exemplary — You use maps and images to explain how location shaped politics, culture, or money, and you notice what the map leaves out.",3,"Proficient — You use maps, images, or other sources to explain how a place's location affects life there.",2,Progressing — You read information off a map but don't connect location to what happens there.,1,Beginning — You can find places on a map but not explain why location matters yet.
G2,group,G2: Understands human interaction with the environment.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G2.6-8.6,outcome,G2.6-8.6,Analyze how the environment has affected people and how people have affected the environment in the United States in the past or present.,Analyzing how people and the environment change each other,highest,,active,G2,3,4,"Exemplary — You analyze how the environment shaped people and how people changed the environment, and you connect the two directions.",3,Proficient — You analyze how the environment affected people and how people affected the environment.,2,"Progressing — You analyze one direction of the relationship, not both.",1,Beginning — You name an environmental feature without connecting it to people yet.
G2.6-8.7,outcome,G2.6-8.7,Explain cultural diffusion in the United States from the past or in the present.,Explaining how culture spreads,highest,,active,G2,3,4,"Exemplary — You explain how a cultural practice spread, and what changed about it along the way.",3,"Proficient — You explain how a cultural practice, idea, or product spread from one group to another.",2,Progressing — You name cultures in contact but don't trace what spread.,1,Beginning — You name cultural practices without explaining how they traveled yet.
G2.6-8.8,outcome,G2.6-8.8,Explain and analyze migration as a catalyst for the growth of the United States in the past or present.,Analyzing how migration grew the country,highest,,active,G2,3,4,"Exemplary — You analyze how migration drove growth, and explain what it cost the people who moved and the people already there.",3,Proficient — You explain and analyze how migration helped the United States grow.,2,Progressing — You describe people moving without connecting it to growth.,1,Beginning — You name groups who migrated without explaining the effect yet.
G3,group,G3: Understands the geographic context of global issues and events.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G3.6-8.3,outcome,G3.6-8.3,"Explain how learning about the geography of the United States helps us understand global issues such as diversity, trade, and sustainability.",Connecting U.S. geography to global issues,highest,,active,G3,3,4,"Exemplary — You explain how U.S. geography helps make sense of a global issue, and where the comparison breaks down.",3,"Proficient — You explain how learning U.S. geography helps you understand a global issue like trade, diversity, or sustainability.",2,Progressing — You describe a global issue without connecting it to geography.,1,Beginning — You name global issues without linking them to place yet.
WA-SS-HISTORY,group,History,,,,,active,,,,,,,,,,
H1,group,H1: Understands historical chronology.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H1.6-8.6,outcome,H1.6-8.6,"Explain how themes and developments help to define eras in United States history from 1763 to 1877, including: Fighting for independence (1763-1783); Establishing the new nation (1781-1815); Slavery, expansion, removal, and reform (1801-1850); Civil War and Reconstruction (1850-1877)",Explaining what makes an era an era,highest,,active,H1,3,4,"Exemplary — You explain what defines an era, and show where one era bleeds into the next.",3,Proficient — You explain how themes and events define an era in U.S. history between 1763 and 1877.,2,Progressing — You place events in time but don't explain what ties an era together.,1,Beginning — You can name events without placing them in an era yet.
H2,group,H2: Understands and analyzes causal factors that have shaped major events in history.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H2.6-8.5,outcome,H2.6-8.5,Explain and analyze how individuals and movements have shaped United States history (1763-1877).,Analyzing how people and movements changed history,highest,,active,H2,3,4,"Exemplary — You analyze how a person or a movement changed history, and weigh how much they changed against what was already moving.",3,Proficient — You explain and analyze how an individual or a movement shaped U.S. history.,2,Progressing — You describe what a person or movement did without showing what changed because of it.,1,Beginning — You name people or movements without their impact yet.
H2.6-8.6,outcome,H2.6-8.6,Explain and analyze how cultures and cultural and ethnic groups have contributed to United States history (1763-1877).,Analyzing what different groups contributed,highest,,active,H2,3,4,"Exemplary — You analyze what a cultural or ethnic group contributed, and explain why that contribution is often left out.",3,Proficient — You explain and analyze how a cultural or ethnic group shaped U.S. history.,2,Progressing — You name a group’s contribution without analyzing its effect.,1,Beginning — You name groups without their contributions yet.
H2.6-8.7,outcome,H2.6-8.7,Explain and analyze how technology and ideas have impacted United States history (1763-1877).,Analyzing how technology and ideas changed history,highest,,active,H2,3,4,"Exemplary — You analyze how a technology or an idea changed history, and follow effects people didn't expect.",3,Proficient — You explain and analyze how a technology or an idea changed U.S. history.,2,Progressing — You describe a technology or an idea without showing what it changed.,1,Beginning — You name inventions or ideas without their impact yet.
H3,group,H3: Understands that there are multiple perspectives and interpretations of historical events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H3.6-8.4,outcome,H3.6-8.4,Analyze and interpret historical materials from a variety of perspectives in United States history (1763-1877).,Reading history from more than one perspective,highest,,active,H3,3,4,"Exemplary — You interpret sources from several perspectives, and explain why the same event looks different to each.",3,Proficient — You analyze historical sources from more than one perspective.,2,Progressing — You read sources but stay inside one perspective.,1,Beginning — You retell what a source says without asking whose view it is yet.
H3.6-8.5,outcome,H3.6-8.5,Analyze multiple causal factors to create positions on major events in United States history (1763-1877).,Taking a position using more than one cause,highest,,active,H3,3,4,"Exemplary — You take a position using several causes, and judge which mattered most and why.",3,Proficient — You analyze more than one cause of a major event and take a position based on them.,2,Progressing — You name causes but your position rests on only one.,1,Beginning — You state a position without causes behind it yet.
H4,group,H4: Understands how historical events inform analysis of contemporary issues and events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H4.6-8.3,outcome,H4.6-8.3,Analyze how a historical event in United States history helps us to understand contemporary issues and events.,Using the past to understand today,highest,,active,H4,3,4,"Exemplary — You analyze how a past event helps explain an issue today, and name where the comparison stops working.",3,Proficient — You analyze how an event in U.S. history helps you understand an issue happening now.,2,"Progressing — You connect past and present, but the link stays on the surface.",1,Beginning — You describe a past event without connecting it to today yet.
WA-SS-SKILLS,group,Social Studies Skills,,,,,active,,,,,,,,,,
SSS1,group,SSS1: Uses critical reasoning skills to analyze and evaluate claims.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS1.6-8.1,outcome,SSS1.6-8.1,Analyze positions and evidence supporting an issue or an event.,Analyzing positions and the evidence behind them,highest,,active,SSS1,3,4,"Exemplary — You analyze a position and its evidence, and explain how it argues against other positions.",3,"Proficient — You analyze a position and the evidence given for it, using specifics from the source.",2,"Progressing — You describe a position and mention evidence, but you don't separate the two.",1,Beginning — You retell what a source says without finding the position yet.
SSS1.6-8.2,outcome,SSS1.6-8.2,Evaluate the logic of reasons for a position on an issue or event.,Judging whether reasons hold up,highest,,active,SSS1,3,4,"Exemplary — You decide if the reasons really back up the position, and you look at more than one side before deciding.",3,"Proficient — You decide if the reasons back up the position, and you point to evidence for why you think so.",2,"Progressing — You say what you think about the reasons, but you don't show much evidence for it.",1,Beginning — You give your opinion without looking at the reasons yet.
SSS2,group,SSS2: Uses inquiry-based research.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS2.6-8.1,outcome,SSS2.6-8.1,Create and use research questions to guide inquiry on an issue or event.,Asking questions that drive research,highest,,active,SSS2,3,4,"Exemplary — You write questions that open real research, and you change them as you find new information.",3,Proficient — You write focused research questions and use them to guide your search.,2,"Progressing — You write questions, but they're too big, too small, or you set them aside once you start.",1,Beginning — You name a topic without turning it into a question yet.
SSS2.6-8.2,outcome,SSS2.6-8.2,"Evaluate the breadth, reliability, and credibility of primary and secondary sources to determine the need for new or additional information when researching an issue or event.",Judging whether sources can be trusted,highest,,active,SSS2,3,4,"Exemplary — You judge whether a source can be trusted, and you notice what's missing or one-sided in what you found.",3,"Proficient — You judge whether a source can be trusted, and whether you need to find more.",2,"Progressing — You say something about your sources, but you judge them by how they look, not by who made them.",1,Beginning — You use sources without asking where they came from yet.
SSS3,group,SSS3: Deliberates public issues.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS3.6-8.1,outcome,SSS3.6-8.1,"Engage in discussion, analyzing multiple viewpoints on public issues.",Discussing an issue from more than one side,highest,,active,SSS3,3,4,"Exemplary — You analyze several viewpoints in discussion and build on what others say, including views unlike yours.",3,Proficient — You analyze more than one viewpoint on the issue while discussing it.,2,"Progressing — You take part in discussion, mostly restating one viewpoint.",1,Beginning — You share an opinion without taking on the other views raised yet.
SSS4,group,"SSS4: Creates a product that uses social studies content to support a thesis, and presents the product in an appropriate manner to a meaningful audience.",,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS4.6-8.1,outcome,SSS4.6-8.1,"Analyze multiple factors, make generalizations, and interpret sources to formulate a thesis in a paper or presentation, while observing rules related to plagiarism and copyright.",Building a product that makes a claim,highest,,active,SSS4,3,4,"Exemplary — All the parts build one idea together, and your idea says something people wouldn't guess right away.",3,Proficient — Every part of your work supports the same clear claim.,2,"Progressing — Your parts connect to your claim, but some repeat or drift off it.",1,Beginning — Your parts don't add up to a claim yet.
SSS4.6-8.2,outcome,SSS4.6-8.2,"Use appropriate format to cite sources within an essay, presentation, and reference page.",Crediting sources correctly,highest,,active,SSS4,3,4,"Exemplary — You cite sources the same way all the way through, and your citations make each source easy to find.",3,"Proficient — You cite your sources in the right format, both in your work and on your reference page.",2,"Progressing — You credit sources, but the format changes or your reference page is missing pieces.",1,Beginning — You use other people's words or ideas without crediting them yet.
